degree_prefix,new_course_id,old_course_id,weight,source_level,source_key,predecessor_pass_rate,predecessor_avg_mark,predecessor_support
35.111,1385.111,3.111,1.0,2,3.111,0.917683130795173,73.51027762076238,383
35.111,1409.111,24.111,1.0,2,24.111,0.9598682856774494,74.59271039583884,84
35.111,1412.111,121.111,0.715633423180593,2,121.111,0.8181965548284115,61.2969907099224,531
35.111,1412.111,545.111,0.1819407008086253,2,545.111,0.9472664626480951,71.89446374946604,135
35.111,1412.111,195.111,0.1024258760107816,2,195.111,0.8106906428172369,61.7671029288254,76
35.111,1423.111,956.111,0.876337992696134,2,956.111,0.7671337300057967,64.63069807725566,6959
35.111,1423.111,830.111,0.0457121269361541,2,830.111,0.6862305527688113,56.97034433725127,363
35.111,1423.111,221.111,0.0303488225664274,2,221.111,0.8997176310745393,74.08675050255647,241
35.111,1423.111,151.111,0.0288376778743231,2,151.111,0.6740012116885733,56.19936498460738,229
35.111,1423.111,391.111,0.0187633799269613,2,391.111,0.839208885860679,65.76119456311974,149
35.111,1424.111,962.111,0.8595703751202308,2,962.111,0.864144611986335,69.63761461931759,5362
35.111,1424.111,836.111,0.0440846425136261,2,836.111,0.748563734611711,61.39200637683809,275
35.111,1424.111,222.111,0.0371914075024046,2,222.111,0.9239138956764077,73.36365825860015,232
35.111,1424.111,157.111,0.030298172491183,2,157.111,0.8317047928729892,63.01264057974755,189
35.111,1424.111,392.111,0.0288554023725553,2,392.111,0.7441315085522737,61.06320940583619,180
36.111,1282.111,45.111,1.0,2,45.111,0.8361824560823942,64.56549060840005,738
36.111,1283.111,48.111,1.0,2,48.111,0.8646075468604469,66.66779277397761,550
36.111,1291.111,23.111,1.0,2,23.111,0.9117913626005264,66.13117193430037,84
36.111,1303.111,182.111,0.6384615384615384,2,182.111,0.8332650651500461,63.7926396229829,83
36.111,1303.111,59.111,0.3615384615384615,2,59.111,0.9377059956784292,75.75584897264535,47
36.111,1304.111,16.111,1.0,2,16.111,0.9672814609325231,78.7282668161571,77
36.111,1305.111,15.111,1.0,2,15.111,0.9695350489814215,78.55213051946889,117
36.111,1324.111,72.111,1.0,2,72.111,0.8454528625831105,66.82780222039383,557
36.111,1332.111,73.111,0.8978444236176195,2,73.111,0.8658755641211194,67.85648454107078,958
36.111,1332.111,191.111,0.1021555763823805,2,191.111,0.6885759822515871,58.76466574548247,109
36.111,1346.111,518.111,0.6166832174776564,2,518.111,0.864003590811942,70.02596237311582,621
36.111,1346.111,122.111,0.2552135054617676,2,122.111,0.8657989231424359,68.81098152045934,257
36.111,1346.111,205.111,0.0794438927507447,2,205.111,0.7782630171045475,65.70641881167238,80
36.111,1346.111,406.111,0.0486593843098311,2,406.111,0.6931348073978949,54.15423016184403,49
36.111,1365.111,118.111,1.0,2,118.111,0.7015590348112428,57.79946910445885,1408
36.111,1372.111,70.111,0.864,2,70.111,0.7625184703022857,58.42741705138148,1404
36.111,1372.111,155.111,0.136,2,155.111,0.692225318300642,58.09809909198024,221
36.111,1373.111,44.111,1.0,2,44.111,0.7184940686224448,59.973819981978224,1025
36.111,1375.111,1.111,0.8691037735849056,2,1.111,0.7609279127914691,63.956252932508185,1474
36.111,1375.111,154.111,0.1308962264150943,2,154.111,0.6728359574812179,57.44066893044313,222
36.111,1376.111,2.111,0.8275862068965517,2,2.111,0.8105839658470665,68.32832856689963,984
36.111,1376.111,161.111,0.1724137931034483,2,161.111,0.6036724520464656,52.242852805187724,205
36.111,1378.111,8.111,1.0,2,8.111,0.8536412890142717,68.40489465794906,152
