university_id,new_degree_id,new_degree_name,new_degree_course_count,candidate_rank,old_degree_id,old_degree_name,old_degree_course_count,shared_course_key_count,overlap_pct_of_new,overlap_pct_of_old,jaccard,degree_name_similarity,same_family_after_strip,courses_added,courses_removed,approval_status,notes
111,48.111,الهندسة المعلوماتية/هندسة أمن النظم والشبكات الحاسوبية 2023,76,3,5.111,هندسة الحاسوب و التحكم,77,31,0.40789473684210525,0.4025974025974026,0.2540983606557377,0.42424242424242425,False,45,46,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,50.111,إجازة في هندسة البترول2023,70,1,24.111,إجازة في هندسة البترول,68,60,0.8571428571428571,0.8823529411764706,0.7692307692307693,1.0,True,10,8,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,50.111,إجازة في هندسة البترول2023,70,2,49.111,هندسة الاتصالات 2023,76,17,0.24285714285714285,0.2236842105263158,0.13178294573643412,0.48484848484848486,False,53,59,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,50.111,إجازة في هندسة البترول2023,70,3,20.111,هندسة البترول,66,11,0.15714285714285714,0.16666666666666666,0.088,0.7096774193548387,False,59,55,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,52.111,التمويل والمصارف 2023,62,1,10.111,إدارة المؤسسات المالية و المصرفية,63,28,0.45161290322580644,0.4444444444444444,0.28865979381443296,0.43902439024390244,False,34,35,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,52.111,التمويل والمصارف 2023,62,2,11.111,المحاسبة و التدقيق,63,21,0.3387096774193548,0.3333333333333333,0.20192307692307693,0.21428571428571427,False,41,42,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,52.111,التمويل والمصارف 2023,62,3,22.111,إدارة (اختصاص عام),41,19,0.3064516129032258,0.4634146341463415,0.2261904761904762,0.2,False,43,22,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,53.111,إدارة الموارد البشرية 2023,61,1,8.111,اداره الموارد البشرية,63,23,0.3770491803278688,0.36507936507936506,0.22772277227722773,1.0,True,38,40,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,53.111,إدارة الموارد البشرية 2023,61,2,10.111,إدارة المؤسسات المالية و المصرفية,63,20,0.32786885245901637,0.31746031746031744,0.19230769230769232,0.5454545454545454,False,41,43,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,53.111,إدارة الموارد البشرية 2023,61,3,11.111,المحاسبة و التدقيق,63,20,0.32786885245901637,0.31746031746031744,0.19230769230769232,0.3870967741935484,False,41,43,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,54.111,إدارة الأعمال2023,62,1,8.111,اداره الموارد البشرية,63,23,0.3709677419354839,0.36507936507936506,0.22549019607843138,0.5,False,39,40,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,54.111,إدارة الأعمال2023,62,2,10.111,إدارة المؤسسات المالية و المصرفية,63,22,0.3548387096774194,0.3492063492063492,0.21359223300970873,0.5263157894736842,False,40,41,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,54.111,إدارة الأعمال2023,62,3,11.111,المحاسبة و التدقيق,63,21,0.3387096774193548,0.3333333333333333,0.20192307692307693,0.24,False,41,42,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,55.111,المحاسبة 2023,62,1,11.111,المحاسبة و التدقيق,63,33,0.532258064516129,0.5238095238095238,0.358695652173913,0.6,False,29,30,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,55.111,المحاسبة 2023,62,2,10.111,إدارة المؤسسات المالية و المصرفية,63,20,0.3225806451612903,0.31746031746031744,0.19047619047619047,0.18181818181818182,False,42,43,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,55.111,المحاسبة 2023,62,3,22.111,إدارة (اختصاص عام),41,18,0.2903225806451613,0.43902439024390244,0.21176470588235294,0.09090909090909091,False,44,23,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,56.111,التسويق2023,61,1,7.111,التسويق و الإمداد,63,29,0.47540983606557374,0.4603174603174603,0.30526315789473685,0.5555555555555556,False,32,34,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,56.111,التسويق2023,61,2,11.111,المحاسبة و التدقيق,63,20,0.32786885245901637,0.31746031746031744,0.19230769230769232,0.3157894736842105,False,41,43,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,56.111,التسويق2023,61,3,10.111,إدارة المؤسسات المالية و المصرفية,63,20,0.32786885245901637,0.31746031746031744,0.19230769230769232,0.1875,False,41,43,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
