university_id,new_course_id,new_course_name,new_course_name_key,new_course_name_stem,new_course_credits,new_course_requirement_type_id,new_course_degree_ids,new_course_family_count,new_course_scope,new_course_valid_rows,old_course_id,old_course_name,old_course_name_key,old_course_credits,credit_change,credit_changed,requirement_type_changed,old_course_degree_ids,old_course_train_support,old_course_train_pass_rate,old_course_train_avg_mark,predecessor_rank,predecessor_count_for_new_course,relationship_type,weight_hint,match_method,scope_confidence,lineage_scope_used,lineage_rank_matched,effective_from_part_id,approval_status,notes,review_decision,reviewer_name,review_date,review_notes
111,1373.111,مبادئ الإدارة المالية,مبادي اداره ماليه,مبادي اداره ماليه,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,254,44.111,مبادئ الإدارة المالية,مبادي اداره ماليه,2.0,1.0,true,false,7.111|8.111|9.111|10.111|11.111|12.111|22.111,1025,0.7160975609756097,59.86439024390244,1,1,successor,1.0,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20222,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1374.111,مبادئ التسويق,مبادي تسويق,مبادي تسويق,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,394,,,,,,unknown,unknown,,,,,,0,none,,none,,ALL_TRAIN_PRESENT_COURSES,,20221,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1375.111,مبادئ المحاسبة1,مبادي محاسبه#1,مبادي محاسبه,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,656,1.111,مبادئ المحاسبة 1,مبادي محاسبه#1,2.0,1.0,true,false,7.111|8.111|9.111|10.111|11.111|12.111|22.111,1474,0.7598371777476255,63.93419267299864,1,2,consolidated_into,0.8691037735849056,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20221,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1375.111,مبادئ المحاسبة1,مبادي محاسبه#1,مبادي محاسبه,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,656,154.111,مبادئ المحاسبة 1,مبادي محاسبه#1,3.0,0.0,false,true,19.111,222,0.6576576576576577,56.707207207207205,2,2,consolidated_into,0.13089622641509435,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20221,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1376.111,مبادئ المحاسبة2,مبادي محاسبه#2,مبادي محاسبه,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,292,2.111,مبادئ المحاسبة 2,مبادي محاسبه#2,2.0,1.0,true,false,7.111|8.111|9.111|10.111|11.111|12.111|22.111,984,0.8099593495934959,68.38414634146342,1,2,consolidated_into,0.8275862068965517,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20222,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1376.111,مبادئ المحاسبة2,مبادي محاسبه#2,مبادي محاسبه,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,292,161.111,مبادئ محاسبة 2,مبادي محاسبه#2,3.0,0.0,false,true,19.111,205,0.5804878048780487,50.94146341463415,2,2,consolidated_into,0.1724137931034483,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20222,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1378.111,محاسبة المؤسسات المالية والمصرفية,محاسبه موسسات ماليه والمصرفيه,محاسبه موسسات ماليه والمصرفيه,3.0,5,36.111|37.111|52.111|55.111,2,specific,11,8.111,محاسبة المؤسسات المالية والمصرفية,محاسبه موسسات ماليه والمصرفيه,3.0,0.0,false,false,10.111|11.111,152,0.8552631578947368,68.77631578947368,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20222,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1379.111,محاسبة إدارية,محاسبه اداريه,محاسبه اداريه,3.0,5,36.111|55.111,1,specific,1,7.111,محاسبة إدارية,محاسبه اداريه,3.0,0.0,false,false,11.111|12.111,101,0.8811881188118812,75.38613861386139,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20231,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1379.111,محاسبة إدارية,محاسبه اداريه,محاسبه اداريه,3.0,5,36.111|55.111,1,specific,1,196.111,محاسبة ادارية,محاسبه اداريه,3.0,0.0,false,false,19.111,77,0.7272727272727273,57.883116883116884,2,1,name_only_review_candidate,,cross_faculty_name_only_review_candidate,cross_faculty,10.111|11.111|22.111,,20231,pending,Normalized-name match lies outside lineage scope and has no TRAIN/VALID faculty intersection; visible and unweighted.,,,,
111,1380.111,محاسبة تكاليف1,محاسبه تكاليف#1,محاسبه تكاليف,3.0,5,36.111|55.111,1,specific,14,,,,,,unknown,unknown,,,,,,0,none,,none,,10.111|11.111|22.111,,20231,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1381.111,محاسبة تكاليف2,محاسبه تكاليف#2,محاسبه تكاليف,3.0,5,36.111|55.111,1,specific,1,,,,,,unknown,unknown,,,,,,0,none,,none,,10.111|11.111|22.111,,20232,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1382.111,محاسبة توحيد الأعمال,محاسبه توحيد اعمال,محاسبه توحيد اعمال,3.0,5,36.111|55.111,1,specific,1,17.111,محاسبة توحيد الأعمال,محاسبه توحيد اعمال,3.0,0.0,false,false,11.111,95,0.8842105263157894,73.32631578947368,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20223,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1383.111,محاسبة حكومية ومؤسسات غير ربحية,محاسبه حكوميه وموسسات غير ربحيه,محاسبه حكوميه وموسسات غير ربحيه,3.0,5,36.111|55.111,1,specific,1,6.111,محاسبة حكومية  ومؤسسات غير ربحية,محاسبه حكوميه وموسسات غير ربحيه,3.0,0.0,false,false,11.111,111,0.972972972972973,81.37837837837837,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20223,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1385.111,محاسبة شركات أشخاص,محاسبه شركات اشخاص,محاسبه شركات اشخاص,3.0,4,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,104,3.111,محاسبة شركات الاشخاص,محاسبه شركات اشخاص,3.0,0.0,false,false,7.111|8.111|9.111|10.111|11.111|12.111|22.111,383,0.9216710182767625,73.9242819843342,1,1,successor,1.0,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20223,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1386.111,محاسبة مالية خاصة,محاسبه ماليه خاصه,محاسبه ماليه خاصه,3.0,5,36.111|55.111,1,specific,7,12.111,محاسبة مالية خاصة,محاسبه ماليه خاصه,3.0,0.0,false,false,11.111,103,0.9514563106796117,75.18446601941747,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20222,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1387.111,محاسبة متوسطة1,محاسبه متوسطه#1,محاسبه متوسطه,3.0,5,36.111|55.111,1,specific,17,,,,,,unknown,unknown,,,,,,0,none,,none,,10.111|11.111|22.111,,20231,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1388.111,محاسبة متوسطة2,محاسبه متوسطه#2,محاسبه متوسطه,3.0,5,36.111|55.111,1,specific,1,,,,,,unknown,unknown,,,,,,0,none,,none,,10.111|11.111|22.111,,20232,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1389.111,مشتقات مالية,مشتقات ماليه,مشتقات ماليه,3.0,6,37.111|52.111,1,specific,3,60.111,المشتقات المالية,مشتقات ماليه,3.0,0.0,false,true,10.111,47,0.8936170212765957,76.14893617021276,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20233,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1394.111,مشروع التدريب المهني في إدارة الموارد البشرية,مشروع تدريب مهني في اداره موارد بشريه,مشروع تدريب مهني في اداره موارد بشريه,4.0,5,34.111|53.111,1,specific,1,,,,,,unknown,unknown,,,,,,0,none,,none,,8.111|10.111|11.111,,20232,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1398.111,مشروع تخرج في المحاسبة والتدقيق,مشروع تخرج في محاسبه والتدقيق,مشروع تخرج في محاسبه والتدقيق,4.0,5,36.111|55.111,1,specific,1,25.111,مشروع  تخرج في المحاسبة والتدقيق,مشروع تخرج في محاسبه والتدقيق,4.0,0.0,false,false,11.111,70,0.9857142857142858,89.62857142857143,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20233,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1402.111,مشكلات محاسبية معاصرة,مشكلات محاسبيه معاصره,مشكلات محاسبيه معاصره,3.0,6,36.111|55.111,1,specific,1,18.111,مشكلات محاسبية معاصرة,مشكلات محاسبيه معاصره,3.0,0.0,false,false,11.111,104,0.9711538461538461,80.4326923076923,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20232,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1403.111,معايير التدقيق الدولية,معايير تدقيق دوليه,معايير تدقيق دوليه,3.0,6,36.111|55.111,1,specific,6,20.111,معايير التدقيق الدولية,معايير تدقيق دوليه,3.0,0.0,false,false,11.111,85,0.9411764705882353,73.89411764705882,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20222,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1405.111,مناهج البحث العلمي,مناهج بحث علمي,مناهج بحث علمي,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,153,,,,,,unknown,unknown,,,,,,0,none,,none,,ALL_TRAIN_PRESENT_COURSES,,20232,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1407.111,مهارات الدخول إلى سوق العمل,مهارات دخول الي سوق عمل,مهارات دخول الي سوق عمل,3.0,4,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,1,,,,,,unknown,unknown,,,,,,0,none,,none,,ALL_TRAIN_PRESENT_COURSES,,20233,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
